Candidate #,Frequency (cm-1),Name,Formula,mode number,Symmetry,IR Intensity,Raman Activity
1009,1288,Ethenethiol,CH2CHSH,7,A',2.5,
1021,1289,Acetaldoxime,CH3CHNOH,9,A',68.3,
1022,1289,Sodium superoxide,NaO2,1,A1,0.0,627.9
1032,1290,"2,2,2-Trifluoroethyl chloride",CF3CH2Cl,4,A',178.1,
1033,1290,"1,3-Butadiene",CH2CHCHCH2,6,Ag,0.0,
1036,1291,"1,3-Dithiolane-2-thione",C3H4S3,8,A,3.0,
1038,1291,Propane,C3H8,12,A2,0.0,12.3
1052,1291,tricyanomethane,CH(CN)3,8,E,6.4,3.2
1055,1291,Phosphoric Acid,H3PO4,2,A,416.9,
1056,1291,Hydrazine,N2H4,11,B,9.0,
1064,1292,Trifluoromethylhypofluorite,CF3OF,2,A',405.7,
1067,1292,Urethane,NH2COOC2H5,16,A,1.3,
1068,1293,acrylonitrile,C3H3N,7,A',1.7,
1085,1294,vinylazine,CH2CHNH,7,A',30.0,
1087,1294,Formic acid,HCOOH,5,A',21.4,0.7
1102,1296,1-Buten-3-yne,C2H3CCH,8,A',2.2,
1111,1297,Boranamine,BH2NH2,4,A1,106.4,3.2
1126,1297,2-Propanethiol,CH3CHSHCH3,9,A',17.7,
1128,1297,tetrafluoroallene,F2CCCF2,8,E,333.6,
1141,1298,Propene,CH2CHCH3,10,A',0.2,24.6
1142,1299,trimethyl arsine,As(CH3)3,17,E,0.1,
1159,1299,methyl germane,GeH3CH3,3,A1,2.0,
1176,1300,Phosphorus oxychloride,OPCl,1,A',168.1,
1192,1301,ethenol,CH2CHOH,8,A',3.3,
1193,1301,"1,3-dichloropropyne",CH2ClCCCl,4,A',77.0,
1194,1301,Formyl bromide,COHBr,3,A',117.9,
1195,1301,Glycine,H2NCH2COOH,8,A',19.4,
1196,1301,hydroxycarbene,HOCH,4,A',138.4,
1234,1304,Dimethyl sulfone,C2H6O2S,17,B1,300.6,
1245,1304,Methylene chloride,CH2Cl2,8,B2,73.5,1.9
1247,1304,"Methane, bromodifluoro-",CHBrF2,2,A',155.2,
1248,1304,"Propanal, 2-methyl-",CHOCH(CH3)CH3,11,A',3.5,
1249,1304,Thiazyl fluoride,FSN,1,A',18.3,
1250,1304,aminomethanimine,NHCHNH2,8,A,33.0,
1261,1305,Dicyanoketenimine,HN=C=C(CN)2,4,A',0.7,47.0
1262,1305,hydrogen azide,HN3,3,A',53.5,13.2
1264,1305,tetramethylsilane,Si(CH3)4,16,T2,38.8,
1265,1305,dimethylsilane,SiH2(CH3)2,24,B2,32.8,
1291,1307,"2-Butene, 2-chloro-, (Z)-",CH3CClCHCH3,11,A',30.0,
1293,1307,Isodiazene,H2NN,6,B2,1.5,5.7
1294,1307,perchloric acid,HClO4,2,A',191.4,
1305,1308,methyl silane,CH3SiH3,3,A1,18.3,
1306,1308,Ozone,O3,3,B2,786.2,
1317,1309,Ethanethioamide,CH3CSNH2,11,A,82.8,1.0
1321,1310,boron monocarbide,BC,1,Σ,0.4,
1332,1310,"Ethene, fluoro-",CH2CHF,6,A',1.3,
1335,1310,Phosphorus dioxide,PO2,3,B2,146.7,
1352,1311,Titanium monohydride,TiH,1,Σ,383.3,
1365,1312,Isocyanic acid,HNCO,3,A',0.2,
1375,1313,"Ethane, 1-chloro-1-fluoro-",CH3CHFCl,9,A,69.2,
1376,1313,dimethylselenide,CH3SeCH3,19,B2,21.6,
1377,1313,Magnesium Sulfate,MgSO4,7,B1,370.0,
1394,1315,Carbonic difluoride,CF2O,5,B2,475.8,0.1
1398,1315,"1,1,2,2-tetrafluoroethane",CHF2CHF2,15,Bu,53.7,
1409,1316,chlorobenzene,C6H5Cl,25,B2,0.4,
1416,1316,"Propanenitrile, 2-methyl-",CH3CH(CH3)CN,24,"A""",0.3,
1418,1316,Acetamide,CH3CONH2,11,A,149.2,
1419,1316,2H-Azirine,CHNCH2,5,A',13.3,
1420,1316,Thionyl Fluoride,F2SO,1,A',244.5,
1424,1317,Ethanedial,C2H2O2,11,Bu,23.1,0.0
1449,1319,bromobenzene,C6H5Br,25,B2,1.4,
1451,1320,Diboron tetrafluoride,B2F4,7,E,305.0,
1457,1320,dibromofluoromethane,CHBr2F,2,A',31.5,5.2
1459,1320,difluoramine,NHF2,2,A',57.7,
1460,1320,methyltrichlorosilane,SiCl3CH3,2,A1,25.0,
1465,1321,phenylacetylene,C6H5CCH,29,B2,0.2,
1476,1323,Boron monofluoride,BF,1,Σ,174.6,3.0
1487,1324,Carbon tetrafluoride,CF4,3,T2,460.3,
1496,1325,Methane selenol,CH3SeH,5,A',20.9,
1499,1325,Phosphaethyne,HCP,2,Σ,4.8,
1522,1327,Chromium hydride,CrH,1,Σ,497.9,
1544,1329,trimethylphosphine,P(CH3)3,17,E,3.5,
1545,1329,Sulfur tetrafluoride oxide,SOF4,1,A1,318.0,
1547,1330,difluoroacetylene,C2F2,3,Σu,343.6,
1551,1330,methyl amine,CH3NH2,13,"A""",0.1,4.1
1566,1331,dimethylphosphine,CH3PHCH3,19,"A""",1.3,
1571,1332,hydroxylamine,NH2OH,8,"A""",0.2,7.8
1573,1333,"1,3-dioxetane",C2H4O2,6,B1g,0.0,
1583,1333,methyl bromide,CH3Br,2,A1,46.5,
1585,1334,borane ammonia,BH3NH3,3,A1,181.2,2.1
1598,1335,5-Aminotetrazole,CH3N5,8,A,2.6,
1608,1336,methanesulfonamide,CH3SO2NH2,18,"A""",326.4,
1616,1337,hexafluorobenzene,C6F6,5,B1u,0.0,
1624,1337,hydroxymethylimine,HOCHNH,6,A',31.5,
1631,1338,Methane,CH4,4,T2,10.3,2.6
1642,1339,Methyl phosphine,CH3PH2,5,A',0.2,
1654,1341,"Ethene, 1,1-difluoro-",CH2CF2,10,B2,253.3,
1664,1342,"1,2-Butadiene",CH2CCHCH3,9,A',14.8,
1666,1342,Formyl chloride,COHCl,3,A',61.2,
1667,1342,Hydrogen peroxide,H2O2,6,B,118.8,
1677,1343,"Borane, methyloxo-",CH3BO,3,A1,15.6,
1678,1343,Isobutane,CH3CH(CH3)CH3,19,E,3.4,
1705,1346,Methanimine,CH2NH,6,A',50.5,
1706,1346,difluorochloromethane,CHF2Cl,2,A',128.4,
1714,1347,Dimethyl sulfoxide,CH3SOCH3,19,"A""",0.6,0.4
1716,1348,pentaborane9,B5H9,8,A2,0.0,
1728,1348,Hydroxymethylidyne,COH,2,A',164.8,3.4
1735,1349,diaminoborane,NH2BHNH2,16,B2,293.2,
1736,1349,diaminomethane,NH2CH2NH2,14,B1,0.0,
1738,1350,Tetrafluoroethylene,C2F4,8,B2u,431.2,
1747,1350,Dinitrogen pentoxide,N2O5,3,A',392.9,
1766,1353,Isopropyl nitrite,CH3CH(CH3)ONO,16,A,9.0,
1775,1354,Dimethyl sulfide,CH3SCH3,19,B2,10.4,2.6
1776,1354,1H-Azirine,CHNHCH,4,A',20.1,
1777,1354,Nitric acid,HNO3,4,A',172.1,
1778,1355,Propiolic acid,C3H2O2,5,A',151.4,
1784,1355,methanediol,CH2(OH)2,12,B,54.3,
1796,1356,Methyl alcohol,CH3OH,6,A',44.2,
1797,1356,thiomethoxy,CH3S,6,A,9.5,
1798,1356,Aminoacetonitrile,NH2CH2CN,6,A',19.4,
1814,1358,formaldoxime,CH2NOH,6,A',101.1,
1817,1358,"Disulfide, dimethyl",CH3SSCH3,19,B,11.9,
1819,1358,aminomethanol,NH2CH2OH,10,A,11.4,
1827,1359,dimethyl trisulfide,CH3SSSCH3,6,A,1.1,
1838,1361,hydroxy(methylene)borane,CH2BOH,4,A',0.1,
1839,1361,"1-Bromo-2,2-difluoroethylene",CHBrCF2,3,A',133.5,
1840,1361,aminomethylene,CHNH2,6,A',49.7,8.5
1848,1362,difluorodichloroethylene,CF2CCl2,9,B2,151.1,
1852,1362,Nitrous acid,HNO2,3,A',263.1,
1854,1362,Sodium Carbonate,Na2CO3,1,A1,695.6,
1864,1363,2-Fluoropropane,CH3CHFCH3,22,"A""",6.0,2.7
1865,1363,Hydrogen methyl disulfide,CH3SSH,7,A,8.9,1.7
1892,1365,Carbon dioxide,CO2,1,Σg,0.0,12.3
1893,1365,Carbon sulfide selenide,SCSe,1,Σ,1376.9,
1924,1367,Methanethiol,CH3SH,5,A',13.5,1.1
1926,1368,vinylene carbonate,C3H2O3,14,B2,72.5,0.0
1931,1368,Thioketene,CH2CS,3,A1,5.9,22.0
1932,1368,sulfidoazane,NH3S,2,A1,76.8,
1946,1370,"1,3,5-Triazine",C3H3N3,4,A2',0.0,
1963,1371,Thioacetaldehyde,CH3CHS,6,A',62.3,
1969,1372,difluorobutadiyne,C4F2,2,Σg,0.0,34.4
1991,1374,trichloroacetaldehyde,CCl3CHO,3,A',19.6,
2007,1375,"phosphorane, trifluoromethylene-",PF3CH2,2,A',71.8,
2022,1377,magnesium monohydride,MgH,1,Σ,277.6,
2059,1381,Acetaldehyde,CH3CHO,7,A',7.0,3.4
2061,1381,Phosphoryl fluoride,F3PO,1,A1,314.9,
2064,1381,Methanimidothioic acid,NHCHSH,5,A',36.9,6.9
2065,1381,Zinc methylene,ZnCH2,2,A',4.4,
2078,1382,dichloroamine,NHCl2,5,"A""",1.1,2.5
2080,1383,Difluoroborane,BHF2,5,B2,455.5,
2088,1383,Methyl chloride,CH3Cl,2,A1,30.1,1.8
2090,1383,Butatriene,H2CCCCH2,8,B1u,1.8,
2101,1384,formyl fluoride,HFCO,3,A',7.1,
2107,1385,"Ethane, 1,1-difluoro-",CH3CHF2,6,A',8.2,0.8
2112,1385,Thiourea,NH2CSNH2,4,A,374.3,
2125,1387,"Urea, methyl-",C2H6N2O,13,A,213.5,
2135,1387,Dinitrogen tetroxide,N2O4,5,B1u,435.5,0.0
2139,1388,Nitryl chloride,ClNO2,1,A1,450.4,
2159,1390,Sulfuryl chloride,SO2Cl2,8,B2,288.7,
2164,1391,"Ethene, 1,1-dichloro-",CH2CCl2,3,A1,0.2,
2210,1394,Acetyl Chloride,CH3COCl,5,A',17.8,
2213,1394,Urea,NH2CONH2,13,B,244.2,
2224,1395,methylmethylene,CH3CH,5,A',0.4,
2226,1395,3-butyn-2-one,CH3COCCH,7,A',27.1,
2251,1397,Chlorodifluoroborane,BClF2,5,B2,398.9,0.0
2262,1397,Sulfur trioxide,SO3,3,E',316.0,3.6
2275,1398,diformyl ether,CHOOCHO,11,B,18.8,8.6
2295,1399,silaethylene,CH2SiH2,3,A1,5.9,
2297,1399,nitrosomethane,CH3NO,5,A',5.9,
2341,1401,Chlorine nitrate,ClONO2,2,A',379.6,
2343,1402,Bromine nitrate,BrONO2,2,A',426.0,
2368,1402,Methyl nitrate,CH3NO3,6,A',222.4,
2401,1404,"Propane, 2,2-dichloro-",CH3CCl2CH3,24,B2,7.1,3.1
2419,1405,2-Butyne,CH3CCCH3,7,"A2""",11.2,
2423,1405,Boric acid,H3BO3,7,E',545.1,
2444,1406,Acetonitrile,CH3CN,3,A1,0.6,8.1
2470,1407,Methylene,CH2,2,A1,0.0,
2475,1407,propyne,CH3CCH,4,A1,1.3,
2480,1407,Fluorine nitrate,FNO3,2,A',291.0,
2517,1408,Ketene,CH2CO,3,A1,15.0,2.7
2595,1410,allene,CH2CCH2,7,B2,0.0,0.2
2641,1412,"1,1,1-tribromoethane",CH3CBr3,2,A1,2.3,
2644,1412,"Methane, nitro-",CH3NO2,5,A',0.1,1.3
2663,1413,"Ethane, 1,1,1-trichloro-",CH3CCl3,2,A1,3.8,
2699,1415,"1,1-Dichloro-1-fluoroethane",CH3CFCl2,4,A',11.1,
2708,1416,"Borane, trifluoro-",BF3,3,E',484.6,
2735,1417,peroxy nitric acid,HOONO2,4,A,267.7,
2782,1420,Sulfuric acid,H2SO4,10,B,410.5,
2794,1421,Scandium trihydride,ScH3,3,E',852.9,
2806,1423,"Methane, trifluoro-",CHF3,4,E,113.8,3.1
2807,1423,Carbon disulfide,CS2,2,Σu,1505.5,0.0
2827,1425,Nitryl fluoride,FNO2,1,A1,261.9,
2858,1428,Phosphorus mononitride,PN,1,Σ,0.2,34.7
2859,1428,Zinc monomethyl,ZnCH3,5,E,3.3,
2868,1429,diazomethane,CH2NN,3,A1,63.3,
2879,1430,Ethenimine,H2CCNH,4,A',0.6,
2898,1433,Beryllium hydroxide,Be(OH)2,7,B,439.1,
2921,1434,Zinc monohydride,ZnH,1,Σ,254.9,
2931,1435,Hypofluorous acid,HOF,2,A',58.4,3.7
2942,1436,Guanidine,CH5N3,9,A,146.7,
2944,1436,Nitrogen trioxide,NO3,1,A1,227.3,
2970,1439,Water-d1,HDO,3,A',90.5,
3006,1442,silicon dioxide,SiO2,2,Σu,156.0,
3013,1443,methylisocyante,CH3NCO,6,A',59.5,18.4
3027,1444,methyl lithium,CH3Li,5,E,4.9,
3028,1444,methyl isocyanide,CH3NC,3,A1,13.9,
3105,1449,Dinitrogen trioxide,N2O3,3,A',131.1,
3117,1450,Phosphaethene,CH2PH,4,A',0.4,
3121,1450,methyl hypochlorite,CH3OCl,4,A',15.2,
3126,1450,Nitrogen dioxide,NO2,1,A1,4.2,46.2
3131,1451,"Sulfurous acid, dimethyl ester",C2H6O3S,12,A,1.5,
3159,1453,Thiirane,C2H4S,13,B2,0.0,
3162,1453,Cyclopropane,C3H6,9,E',0.1,7.8
3177,1454,Propadienal,C3H2O,4,A1,7.1,14.8
3323,1460,Selenoformaldehyde,H2CSe,2,A1,7.1,3.5
3570,1466,disilyne,Si2H2,5,B1,72.3,27.7
3970,1475,magnesium dihydride,MgH2,1,Σg,0.0,
4215,1479,Gallium monohydride,GaH,1,Σ,880.7,265.1
4347,1483,Scandium monohydride,ScH,1,Σ,341.0,
4395,1485,Methyl fluoride,CH3F,2,A1,13.4,5.0
4461,1487,diazirine,CH2N2,3,A1,1.4,
4497,1488,Sodium methoxide,NaOCH3,6,E,5.8,
4559,1490,Thioformaldehyde,H2CS,2,A1,9.2,
4667,1497,Nitrogen trifluoride oxide,F3NO,1,A1,682.5,
4704,1500,methyleneaminomethylene,H2CNCH,4,A',0.2,
4705,1500,Ammonia Oxide,NH3O,2,A1,35.2,
4729,1503,cyclopropene,C3H4,4,A1,6.2,15.6
4753,1505,Beryllium fluoride,BeF2,2,Σu,391.5,
4817,1514,cyanomethylene,HCCN,2,A',120.5,
4862,1532,methyleneazane,HCNH,3,A',10.9,
4875,1536,silane-d2,SiH2D2,2,A1,66.0,
4896,1553,Carbon monoxide,CO,1,Σ,1.7,
4902,1561,Nitrosyl hydride,HNO,3,A',39.1,
4903,1562,lithium amide,LiNH2,2,A1,31.0,12.7
4904,1565,beryllium oxide,BeO,1,Σ,107.8,
4928,1586,"Silane, amino",SiH3NH2,4,A',61.1,4.1
4929,1588,boron nitride,BN,1,Σ,26.8,
4939,1592,aluminum monohydride,AlH,1,Σ,804.0,
4962,1603,Copper monohydride,CuH,1,Σ,420.3,
4964,1604,tetrabromoethene,C2Br4,1,Ag,0.0,95.6
4993,1608,chloramine,NH2Cl,2,A',28.6,8.0
5023,1616,water oxide,H2OO,2,A',118.5,4.3
5046,1622,cyanamide,NH2CN,3,A',53.6,
5064,1626,Carbon suboxide,C3O2,4,Σu,59.1,0.0
5081,1628,Diazocarbene,CNN,1,Σ,0.7,141.4
5100,1632,Ethynamine,HCCNH2,4,A',36.7,
5133,1640,Tetrachloroethylene,C2Cl4,1,Ag,0.0,
5145,1642,Water,H2O,2,A1,107.3,5.7
5157,1648,Diborane,B2H6,17,B3u,782.5,0.0
5163,1649,Zinc hydride,ZnH2,2,Σu,435.2,
5186,1652,Ammonia Dimer,NH3NH3,16,Bu,30.7,
5202,1655,Ammonium chloride,NH4Cl,6,E,28.9,10.5
5216,1658,Water Ammonia Dimer,H2ONH3,12,"A""",25.1,
5231,1663,Ammonia,NH3,4,E,21.3,10.6
5249,1669,Nitrogen oxide sulfide,SNO,1,A',489.0,312.2
5255,1671,3H-Diazirin-3-ylidene,CN2,1,A1,19.5,
5386,1717,Ethenediimine,HNCCNH,10,Bu,315.1,0.0
5414,1733,germylidene,GeH,1,Σ,419.9,224.1
5421,1741,Calcium Carbonate,CaCO3,1,A1,814.2,
5432,1755,aluminum dihydride,AlH2,1,A1,117.0,
5439,1760,germylene,GeH2,1,A1,320.1,
5450,1767,(Z)-Difluorodiazene,N2F2,1,A1,20.0,
5462,1777,Boranimine,HBNH,3,Σ,84.8,
5480,1791,Silicon dicarbide,SiC2,1,A1,45.4,37.2
5486,1797,Bromine dioxide,BrOO,1,A',0.2,47.7
5490,1798,Magnesium Carbonate,MgCO3,1,A1,699.3,
5501,1803,Bromine nitrite,BrONO,1,A',304.0,
5502,1803,Oxirene,C2H2O,2,A1,0.7,71.7
5531,1817,Boron hydride oxide,HBO,2,Σ,125.5,
5549,1823,Nitrosyl nitrite,ONONO,7,B2,462.4,
5550,1824,aluminum trihydride,AlH3,3,E',344.2,
5552,1824,chlorine nitrite,ClONO,1,A',278.3,
5556,1825,Gallium trihydride,GaH3,3,E',290.2,
5589,1846,Nitrosyl hypofluorite,FONO,1,A',193.0,
5590,1846,Dinitrogen monohydride,NNH,2,A',23.9,
5605,1863,Boron dioxide,BO2,1,Σ,21.8,
5606,1863,Oxalyl chloride,ClCOClCO,1,Ag,0.0,
5609,1869,Phosgene,CCl2O,1,A1,452.1,
5613,1872,Mercapto-d,DS,1,Σ,8.2,
5614,1875,Carbonic dibromide,COBr2,1,A1,446.7,
5620,1881,boron monoxide,BO,1,Σ,92.0,
5622,1882,Hydrogen sulfide-d2,D2S,1,A1,4.1,
5632,1894,beryllium dihydride,BeH2,1,Σg,0.0,
5633,1894,Nitrosyl chloride,ClNO,1,A',991.4,
5638,1905,Nitrosyl fluoride,FNO,1,A',207.9,12.7
5639,1907,Nitrosyl bromide,BrNO,1,A',1501.1,
5644,1916,Diboron dioxide,B2O2,3,Σu,349.1,
5645,1922,Carbonic chloride fluoride,COFCl,1,A',530.2,
5646,1925,Carbonyl fluoride,FCO,1,A',355.4,
5650,1934,beryllium monohydride,BeH,1,Σ,172.9,
5653,1938,hexatriyne,C6H2,3,Σg,0.0,
5655,1946,Tricarbon monoxide,C3O,2,Σ,184.8,
5656,1949,carbonyl monochloride,ClCO,1,A',524.5,
5657,1950,fluorosilylene,HSiF,1,A',527.0,206.9
5661,1963,Silylidyne,SiH,1,Σ,450.4,270.1
5664,1966,Germane,GeH4,1,A1,0.0,261.4
5667,1984,silicon dihydride,SiH2,3,B2,437.3,
5673,1995,monofluorogermane,GeH3F,1,A1,25.0,221.3
5675,1996,Dicarbon monoxide,CCO,1,Σ,368.0,
5676,1997,Nitric oxide,NO,1,Σ,69.5,
5679,2006,Chlorosilylene,HSiCl,1,A',401.3,205.0
5681,2008,monobromosilylene,HSiBr,1,A',372.3,191.2
5687,2020,Acetylene,C2H2,2,Σg,0.0,61.2
5688,2023,Isothiocyanic acid,HNCS,2,A',1083.5,
5689,2025,Arsenic monohydride,AsH,1,Σ,161.0,198.5
5690,2027,Iron pentacarbonyl,Fe(CO)5,14,E,5260.1,
5691,2033,methane-d4,CD4,1,A1,0.0,
5695,2054,Hydrochloric acid-d,DCl,1,Σ,12.5,
5699,2073,Aluminum isocyanide,AlNC,1,Σ,564.5,79.4
5700,2073,Carbonyl sulfide,OCS,1,Σ,1181.4,27.9
5702,2076,hydrogen isocyanide,HNC,2,Σ,81.5,
5703,2079,Arsine,AsH3,1,A1,71.1,225.5
5704,2079,Carbonyl selenide,OCSe,1,Σ,1141.3,
5705,2080,Diacetylene,C4H2,5,Σu,0.0,
5707,2081,methylfluoride-d3,CD3F,1,A1,27.2,
5708,2081,lithium cyanide,LiCN,1,A',107.7,
5713,2094,Sodium Cyanide,NaCN,1,A',66.3,
5715,2100,methyl chloride d3,CD3Cl,1,A1,25.1,
5717,2105,trisilane,Si3H8,3,A1,138.6,80.8
5719,2109,Zinc isocyanide,ZnNC,1,Σ,363.6,
5720,2110,Potassium cyanide,KCN,1,A',48.1,
5723,2121,disilane,Si2H6,5,A2u,217.0,
5728,2127,silanol,SiH3OH,9,"A""",305.1,59.1
5735,2130,trisilylamine,N(SiH3)3,19,"E""",0.0,92.0
5752,2145,Silane,SiH4,3,T2,229.6,71.0
5754,2147,Cyanoacetylene,HCCCN,3,Σ,3.4,
5757,2150,bromoacetylene,HCCBr,2,Σ,11.4,
5778,2169,Chloroacetylene,HCCCl,2,Σ,22.0,
5779,2169,Disilene,Si2H4,10,Bu,175.1,0.0
5784,2176,monofluorosilane,SiH3F,4,E,257.4,54.1
5788,2182,bromosilane,SiH3Br,1,A1,95.4,
5789,2183,(trichloromethyl)silane,SiH3CCl3,1,A1,71.0,
5790,2183,chlorosilane,SiH3Cl,1,A1,84.7,212.3
5799,2192,Hydrogen cyanide,HCN,2,Σ,11.8,39.5
5811,2219,dichlorosilane,SiH2Cl2,1,A1,114.3,
5814,2227,2-Butynedinitrile,C4N2,2,Σg,0.0,
5815,2227,Zinc monocyanide,ZnCN,1,Σ,18.3,
5817,2229,Borane carbonyl,BH3CO,2,A1,347.8,68.9
5819,2229,difluorosilane,SiH2F2,6,B1,248.8,35.9
5827,2253,Aluminum monocyanide,AlCN,1,Σ,53.3,65.6
5830,2258,Boron monohydride,BH,1,Σ,391.1,
5831,2259,Trichlorosilane,SiHCl3,1,A1,111.5,
5834,2283,fulminic acid,HCNO,2,Σ,342.3,69.8
5835,2286,Cyanogen,C2N2,3,Σu,3.8,
5836,2296,Selenium monohydride,HSe,1,Σ,24.4,172.1
5838,2299,phosphorus monohydride,PH,1,Σ,163.5,
5841,2300,trifluorosilane,SiHF3,1,A1,116.1,67.7
5844,2304,hydrogen diselenide,H2Se2,1,A,18.0,194.5
5846,2307,dichloroacetylene,C2Cl2,1,Σg,0.0,
5849,2310,thiocyanic acid,HSCN,2,A',18.6,
5851,2311,borane phosphine,BH3PH3,2,A1,85.1,
5854,2321,Hydrogen selenide,H2Se,1,A1,13.5,
5857,2325,Cyanogen bromide,BrCN,1,Σ,31.9,62.7
5861,2333,Diphosphine,P2H4,9,B,51.7,
5863,2336,Phosphinous acid,H2POH,7,"A""",194.7,
5866,2338,Nitrogen sulfide,NNS,1,Σ,297.0,
5868,2339,chlorocyanogen,ClCN,1,Σ,49.4,
5872,2340,Phosphine,PH3,3,E,146.9,159.3
5917,2381,tetracyanomethane,C(CN)4,6,T2,1.1,
5924,2412,Diborane(4) D2d,B2H4,5,B2,136.6,
5925,2421,boron trihydride,BH3,1,A1',0.0,
5927,2423,Cyanogen fluoride,FCN,1,Σ,156.6,
5936,2452,boron dihydride,BH2,1,A1,17.3,
5950,2517,hydrogen bromide,HBr,1,Σ,8.7,
5967,2583,"Borane, dichloro-",BHCl2,1,A1,104.9,
5975,2612,Disulfane,H2S2,1,A,9.9,
5977,2612,trisulfane,HSSSH,1,A,1.5,
6003,2640,Hexafluorophosphate neutral,PF6,12,B2,119102.1,
6007,2686,hydrogen boron sulfide,HBS,1,Σ,50.0,61.5
6013,2750,Methylidyne,CH,1,Σ,172.7,130.5
6239,2865,Hydrogen chloride,HCl,1,Σ,24.3,126.3
6905,2890,bromomethylene,CHBr,1,A',50.8,
9808,3081,bromoform,CHBr3,1,A1,2.5,
9963,3172,Imidogen,NH,1,Σ,27.3,
10270,3624,Selenic acid,H2SeO4,9,B,374.0,
10302,3664,Sulfur Hydroxide,SOH,1,A',122.7,78.9
10314,3676,Hypobromous acid,HOBr,1,A',120.6,
